outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id
chicken_fish,Level Change,-0.08014473318206666,-0.41928514999999994,0.21969050000000018,1.0693021858397043,28.98142772898423,Pooled,POOLED
chicken_fish,Slope Change,0.6315644358876666,0.08328577000000001,1.17237375,1.100975675114538,26.88706357054788,Pooled,POOLED
meat,Level Change,0.013394076008466666,-0.127752625,0.2050884749999996,1.1491799258578228,21.605649076782488,Pooled,POOLED
meat,Slope Change,0.30167640117733335,-0.0839187625,0.6426623499999999,1.0398872957395224,22.796411831969568,Pooled,POOLED
nonvegan,Level Change,0.039567833718333334,-0.1453961,0.18647372499999967,1.0290045338891753,43.14041748381084,Pooled,POOLED
nonvegan,Slope Change,0.44463076194,0.010530705750000003,0.720802925,1.11442101421542,18.926090427635216,Pooled,POOLED
vegan,Level Change,0.11534822680566667,-0.01169766,0.26319275,1.1823489288723126,3.9827018518874904,Pooled,POOLED
vegan,Slope Change,0.21508569553333334,0.09615565000000001,0.3592485249999999,1.0544080530172601,15.801708225139512,Pooled,POOLED
vegetarian,Level Change,0.06267636414466667,-0.103123825,0.16551739999999998,1.0403107892578523,12.103646166515782,Pooled,POOLED
vegetarian,Slope Change,0.5116460386666667,0.382130125,0.5985680499999999,1.503202210877356,1.878502915962851,Pooled,POOLED
chicken_fish,Level Change,-0.030459207484708574,-0.12783337150988489,0.04879016416943205,1.0031921797608032,NA,Restaurant,VLZX7K2M9QD4T
chicken_fish,Slope Change,0.43178241642553783,-0.3011050927839216,1.007957920399979,1.0127886632189629,NA,Restaurant,VLZX7K2M9QD4T
chicken_fish,Level Change,-0.09431067947124129,-0.342490308946776,0.12221763272424911,1.0172411145260998,NA,Restaurant,2HRX9P6HKXA8V
chicken_fish,Slope Change,0.5007752879124892,0.009950330853168092,0.9707789171582248,1.063785114217455,NA,Restaurant,2HRX9P6HKXA8V
chicken_fish,Level Change,0.14842000511827322,0.0769610411361284,0.2151113796169455,1.0095421987939455,NA,Restaurant,JHDN7CF1C03X5
chicken_fish,Slope Change,0.5538851132264376,0.3987761199573678,0.6981347220709843,1.005741129612303,NA,Restaurant,JHDN7CF1C03X5
chicken_fish,Level Change,-0.11653381625595151,-0.6733445532637656,0.35065687161316933,1.0864636056500694,NA,Restaurant,L69HYJ4Y3TR91
