Series Id,Year,Period,Value
CUUR0000SEFV,2010,M01,224.916
CUUR0000SEFV,2010,M02,225.081
CUUR0000SEFV,2010,M03,224.991
CUUR0000SEFV,2010,M04,225.276
CUUR0000SEFV,2010,M05,225.573
CUUR0000SEFV,2010,M06,225.797
CUUR0000SEFV,2010,M07,225.710
CUUR0000SEFV,2010,M08,226.422
CUUR0000SEFV,2010,M09,227.075
CUUR0000SEFV,2010,M10,227.287
CUUR0000SEFV,2010,M11,227.512
CUUR0000SEFV,2010,M12,227.722
CUUS0000SEFV,2010,S01,225.272
CUUS0000SEFV,2010,S02,226.955
CUUR0000SEFV,2011,M01,228.181
CUUR0000SEFV,2011,M02,228.606
CUUR0000SEFV,2011,M03,229.282
CUUR0000SEFV,2011,M04,230.082
CUUR0000SEFV,2011,M05,230.501
CUUR0000SEFV,2011,M06,231.097
CUUR0000SEFV,2011,M07,231.580
CUUR0000SEFV,2011,M08,232.513
CUUR0000SEFV,2011,M09,233.032
CUUR0000SEFV,2011,M10,233.459
CUUR0000SEFV,2011,M11,234.046
CUUR0000SEFV,2011,M12,234.435
CUUS0000SEFV,2011,S01,229.625
CUUS0000SEFV,2011,S02,233.178
CUUR0000SEFV,2012,M01,235.268
CUUR0000SEFV,2012,M02,235.603
CUUR0000SEFV,2012,M03,236.073
CUUR0000SEFV,2012,M04,236.695
CUUR0000SEFV,2012,M05,237.262
CUUR0000SEFV,2012,M06,237.839
CUUR0000SEFV,2012,M07,238.337
CUUR0000SEFV,2012,M08,239.057
CUUR0000SEFV,2012,M09,239.565
CUUR0000SEFV,2012,M10,239.742
CUUR0000SEFV,2012,M11,240.038
CUUR0000SEFV,2012,M12,240.359
CUUS0000SEFV,2012,S01,236.457
CUUS0000SEFV,2012,S02,239.516
CUUR0000SEFV,2013,M01,240.713
CUUR0000SEFV,2013,M02,240.930
CUUR0000SEFV,2013,M03,241.409
CUUR0000SEFV,2013,M04,242.236
CUUR0000SEFV,2013,M05,242.642
CUUR0000SEFV,2013,M06,243.016
CUUR0000SEFV,2013,M07,243.409
CUUR0000SEFV,2013,M08,243.811
CUUR0000SEFV,2013,M09,244.036
CUUR0000SEFV,2013,M10,244.350
CUUR0000SEFV,2013,M11,244.970
CUUR0000SEFV,2013,M12,245.300
CUUS0000SEFV,2013,S01,241.824
CUUS0000SEFV,2013,S02,244.313
CUUR0000SEFV,2014,M01,245.481
CUUR0000SEFV,2014,M02,246.187
CUUR0000SEFV,2014,M03,246.878
CUUR0000SEFV,2014,M04,247.534
CUUR0000SEFV,2014,M05,247.952
CUUR0000SEFV,2014,M06,248.445
CUUR0000SEFV,2014,M07,249.210
CUUR0000SEFV,2014,M08,249.801
CUUR0000SEFV,2014,M09,250.570
CUUR0000SEFV,2014,M10,251.100
CUUR0000SEFV,2014,M11,251.987
CUUR0000SEFV,2014,M12,252.628
CUUS0000SEFV,2014,S01,247.080
CUUS0000SEFV,2014,S02,250.883
CUUR0000SEFV,2015,M01,253.037
CUUR0000SEFV,2015,M02,253.719
CUUR0000SEFV,2015,M03,254.108
CUUR0000SEFV,2015,M04,254.727
CUUR0000SEFV,2015,M05,255.322
CUUR0000SEFV,2015,M06,255.846
CUUR0000SEFV,2015,M07,255.905
CUUR0000SEFV,2015,M08,256.449
CUUR0000SEFV,2015,M09,257.830
CUUR0000SEFV,2015,M10,258.363
CUUR0000SEFV,2015,M11,258.805
CUUR0000SEFV,2015,M12,259.097
CUUS0000SEFV,2015,S01,254.460
CUUS0000SEFV,2015,S02,257.742
CUUR0000SEFV,2016,M01,259.958
CUUR0000SEFV,2016,M02,260.319
CUUR0000SEFV,2016,M03,260.883
CUUR0000SEFV,2016,M04,261.517
CUUR0000SEFV,2016,M05,262.074
CUUR0000SEFV,2016,M06,262.529
CUUR0000SEFV,2016,M07,263.051
CUUR0000SEFV,2016,M08,263.649
CUUR0000SEFV,2016,M09,264.102
CUUR0000SEFV,2016,M10,264.459
CUUR0000SEFV,2016,M11,264.699
CUUR0000SEFV,2016,M12,265.104
CUUS0000SEFV,2016,S01,261.213
CUUS0000SEFV,2016,S02,264.177
CUUR0000SEFV,2017,M01,266.079
CUUR0000SEFV,2017,M02,266.626
CUUR0000SEFV,2017,M03,267.055
CUUR0000SEFV,2017,M04,267.652
CUUR0000SEFV,2017,M05,268.128
CUUR0000SEFV,2017,M06,268.225
CUUR0000SEFV,2017,M07,268.649
CUUR0000SEFV,2017,M08,269.522
CUUR0000SEFV,2017,M09,270.353
