analysis,outcome,exposure,exposure_column,distinct_values,incorrectly_standardized,standardization_issue,very_sparse,high_zero_prop,prop_exposure_zero,potential_separation,prop_outcome_zero_when_exp_zero,data_quality_issue,data_quality_warning
proportion,chicken_fish,mpbamod_dishes_count,exposure_2HRX9P6HKXA8V_1,2,FALSE,OK,TRUE,FALSE,0.8988468287791427,FALSE,0.6073072095941988,TRUE,Very sparse (≤2 values)
proportion,chicken_fish,mpbamod_dishes_count,exposure_ED5J990H5VAZT_1,6,FALSE,OK,FALSE,TRUE,0.9316871396339935,FALSE,0.5649132248082873,TRUE,High zeros (93.2%)
proportion,chicken_fish,mpbamod_dishes_count,exposure_JHDN7CF1C03X5_1,19,TRUE,Has decimals (should be integers),FALSE,FALSE,0.8085986462772625,FALSE,0.6402108200279026,FALSE,Low variation
proportion,chicken_fish,mpbamod_dishes_count,exposure_L69HYJ4Y3TR91_1,3,FALSE,OK,FALSE,TRUE,0.9839558786663324,FALSE,0.561656050955414,TRUE,High zeros (98.4%)
proportion,chicken_fish,mpbamod_dishes_count,exposure_SRQS8F7JWA9MZ_1,3,FALSE,OK,FALSE,FALSE,0.8682627224868388,FALSE,0.4918435108993792,FALSE,OK
proportion,chicken_fish,mpbamod_dishes_count,exposure_W8T41JZK0ZMEP_1,19,TRUE,Has decimals (should be integers),FALSE,FALSE,0.8494610177989471,FALSE,0.6250553342186809,FALSE,Low variation
proportion,chicken_fish,mpbamod_dishes_prop,exposure_2HRX9P6HKXA8V_1,6,FALSE,OK,FALSE,FALSE,0.8988468287791427,FALSE,0.6073072095941988,FALSE,OK
proportion,chicken_fish,mpbamod_dishes_prop,exposure_ED5J990H5VAZT_1,15,TRUE,"Values outside [0,1]: min=-0.51, max=2.33",FALSE,FALSE,0.6718475808473302,FALSE,0.43582089552238806,FALSE,OK
proportion,chicken_fish,mpbamod_dishes_prop,exposure_JHDN7CF1C03X5_1,52,TRUE,"Values outside [0,1]: min=-1.82, max=7.75",FALSE,FALSE,0.8085986462772625,FALSE,0.6402108200279026,FALSE,Low variation
proportion,chicken_fish,mpbamod_dishes_prop,exposure_L69HYJ4Y3TR91_1,8,FALSE,OK,FALSE,TRUE,0.9839558786663324,FALSE,0.561656050955414,TRUE,High zeros (98.4%)
proportion,chicken_fish,mpbamod_dishes_prop,exposure_SRQS8F7JWA9MZ_1,6,FALSE,OK,FALSE,FALSE,0.8682627224868388,FALSE,0.4918435108993792,FALSE,OK
proportion,chicken_fish,mpbamod_dishes_prop,exposure_W8T41JZK0ZMEP_1,99,TRUE,"Values outside [0,1]: min=-3.12, max=1.97",FALSE,FALSE,0.8494610177989471,FALSE,0.6250553342186809,FALSE,Low variation
proportion,chicken_fish,vegan_dishes_count,exposure_2HRX9P6HKXA8V_1,4,FALSE,OK,FALSE,FALSE,0.8988468287791427,FALSE,0.6073072095941988,FALSE,OK
proportion,chicken_fish,vegan_dishes_count,exposure_ED5J990H5VAZT_1,6,FALSE,OK,FALSE,FALSE,0.6743544748057158,FALSE,0.4379182156133829,FALSE,OK
proportion,chicken_fish,vegan_dishes_count,exposure_JHDN7CF1C03X5_1,15,TRUE,Has decimals (should be integers),FALSE,FALSE,0.8085986462772625,FALSE,0.6402108200279026,FALSE,Low variation
proportion,chicken_fish,vegan_dishes_count,exposure_L69HYJ4Y3TR91_1,7,FALSE,OK,FALSE,TRUE,0.9601403860616696,FALSE,0.5590078328981724,TRUE,High zeros (96.0%)
proportion,chicken_fish,vegan_dishes_count,exposure_SRQS8F7JWA9MZ_1,2,FALSE,OK,TRUE,FALSE,0.8312860366006518,FALSE,0.4692400482509047,TRUE,Very sparse (≤2 values)
proportion,chicken_fish,vegan_dishes_count,exposure_W8T41JZK0ZMEP_1,21,TRUE,Has decimals (should be integers),FALSE,FALSE,0.8494610177989471,FALSE,0.6250553342186809,FALSE,Low variation
proportion,chicken_fish,vegan_dishes_prop,exposure_2HRX9P6HKXA8V_1,10,FALSE,OK,FALSE,FALSE,0.8988468287791427,FALSE,0.6073072095941988,FALSE,OK
proportion,chicken_fish,vegan_dishes_prop,exposure_ED5J990H5VAZT_1,46,TRUE,"Values outside [0,1]: min=-1.88, max=4.45",FALSE,FALSE,0.6718475808473302,FALSE,0.43582089552238806,FALSE,Low variation
proportion,chicken_fish,vegan_dishes_prop,exposure_JHDN7CF1C03X5_1,51,TRUE,"Values outside [0,1]: min=-4.23, max=2.08",FALSE,FALSE,0.8085986462772625,FALSE,0.6402108200279026,FALSE,Low variation
proportion,chicken_fish,vegan_dishes_prop,exposure_L69HYJ4Y3TR91_1,20,TRUE,"Values outside [0,1]: min=-1.50, max=1.68",FALSE,TRUE,0.9601403860616696,FALSE,0.5590078328981724,TRUE,High zeros (96.0%); Low variation
proportion,chicken_fish,vegan_dishes_prop,exposure_SRQS8F7JWA9MZ_1,7,FALSE,OK,FALSE,FALSE,0.8312860366006518,FALSE,0.4692400482509047,FALSE,OK
proportion,chicken_fish,vegan_dishes_prop,exposure_W8T41JZK0ZMEP_1,89,TRUE,"Values outside [0,1]: min=-2.52, max=2.97",FALSE,FALSE,0.8494610177989471,FALSE,0.6250553342186809,FALSE,Low variation
proportion,chicken_fish,vegetarian_dishes_count,exposure_2HRX9P6HKXA8V_1,5,FALSE,OK,FALSE,FALSE,0.8988468287791427,FALSE,0.6073072095941988,FALSE,OK
proportion,chicken_fish,vegetarian_dishes_count,exposure_ED5J990H5VAZT_1,19,TRUE,Has decimals (should be integers),FALSE,FALSE,0.6718475808473302,FALSE,0.43582089552238806,FALSE,OK
proportion,chicken_fish,vegetarian_dishes_count,exposure_JHDN7CF1C03X5_1,21,TRUE,Has decimals (should be integers),FALSE,FALSE,0.8085986462772625,FALSE,0.6402108200279026,FALSE,Low variation
proportion,chicken_fish,vegetarian_dishes_count,exposure_L69HYJ4Y3TR91_1,13,TRUE,Has decimals (should be integers),FALSE,TRUE,0.9601403860616696,FALSE,0.5590078328981724,TRUE,High zeros (96.0%); Low variation
proportion,chicken_fish,vegetarian_dishes_count,exposure_SRQS8F7JWA9MZ_1,8,FALSE,OK,FALSE,FALSE,0.8153672599649034,FALSE,0.45887778631821674,FALSE,OK
proportion,chicken_fish,vegetarian_dishes_count,exposure_W8T41JZK0ZMEP_1,31,TRUE,Has decimals (should be integers),FALSE,FALSE,0.8494610177989471,FALSE,0.6250553342186809,FALSE,Low variation
proportion,chicken_fish,vegetarian_dishes_prop,exposure_2HRX9P6HKXA8V_1,11,FALSE,OK,FALSE,FALSE,0.8988468287791427,FALSE,0.6073072095941988,FALSE,OK
proportion,chicken_fish,vegetarian_dishes_prop,exposure_ED5J990H5VAZT_1,47,TRUE,"Values outside [0,1]: min=-1.80, max=2.56",FALSE,FALSE,0.6718475808473302,FALSE,0.43582089552238806,FALSE,OK
proportion,chicken_fish,vegetarian_dishes_prop,exposure_JHDN7CF1C03X5_1,46,TRUE,"Values outside [0,1]: min=-8.09, max=2.05",FALSE,FALSE,0.8085986462772625,FALSE,0.6402108200279026,FALSE,Low variation
