outcome,effect_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,ess_bulk
chicken_fish,Level Change,0.886960929985619,0.531519536279409,1.3331398507706296,1.0141907813973599,Pooled,POOLED,NA
chicken_fish,Slope Change,1.0449739363193449,0.35370430907224554,3.2971946471421374,1.0056233690549492,Pooled,POOLED,NA
meat,Level Change,0.8737550109209813,0.679385476795121,1.108373305608444,1.0224424046869391,Pooled,POOLED,NA
meat,Slope Change,1.0086314964434495,0.516802701069362,2.069544428075222,1.0076592451551614,Pooled,POOLED,NA
nonvegan,Level Change,0.9216654173731932,0.6465205465944419,1.429349613389221,1.0340943929081359,Pooled,POOLED,NA
nonvegan,Slope Change,1.1224694849967434,0.6716178337545851,1.9705060245116275,1.0034112399455741,Pooled,POOLED,NA
total,Level Change,0.9187272021535335,0.6677201869582541,1.30536112287027,1.0105556326874618,Pooled,POOLED,NA
total,Slope Change,1.1562429355724637,0.6253069217396854,2.252104190565351,1.0105996776668091,Pooled,POOLED,NA
vegan,Level Change,1.0761887290140961,0.8454004572342466,1.4228192277179907,1.0021956568984987,Pooled,POOLED,NA
vegan,Slope Change,1.2302060154741175,0.569419860527648,2.8846901677535017,1.0138797027167834,Pooled,POOLED,NA
vegetarian,Level Change,1.0017491502470843,0.6716949399077087,1.5754618619940732,1.0105415252153307,Pooled,POOLED,NA
vegetarian,Slope Change,1.1097701656261925,0.7294541239311417,1.835651528697892,1.0062888848981826,Pooled,POOLED,NA
chicken_fish,Level Change,0.86,0.58,1.24,1.0003892845300038,Restaurant,VLZX7K2M9QD4T,NA
chicken_fish,Slope Change,0.64,0.08,4.11,1.0024113884582975,Restaurant,VLZX7K2M9QD4T,NA
chicken_fish,Level Change,1.06,0.76,1.5,1.0035030053206344,Restaurant,2HRX9P6HKXA8V,NA
chicken_fish,Slope Change,0.22,0.08,0.53,1.010563689296916,Restaurant,2HRX9P6HKXA8V,NA
chicken_fish,Level Change,1.15,0.98,1.34,1.0017255038566186,Restaurant,JHDN7CF1C03X5,NA
chicken_fish,Slope Change,1.36,0.97,1.9,1.00129108772471,Restaurant,JHDN7CF1C03X5,NA
chicken_fish,Level Change,0.79,0.35,1.47,1.0025086211664147,Restaurant,L69HYJ4Y3TR91,NA
chicken_fish,Slope Change,1.61,0.21,15.64,1.0049243201662064,Restaurant,L69HYJ4Y3TR91,NA
chicken_fish,Level Change,0.65,0.33,1.09,1.0049814722458208,Restaurant,ED5J990H5VAZT,NA
chicken_fish,Slope Change,3.86,1.59,8.54,1.0077196726957152,Restaurant,ED5J990H5VAZT,NA
meat,Level Change,0.91,0.71,1.19,1.0109037096265812,Restaurant,VLZX7K2M9QD4T,NA
meat,Slope Change,0.9,0.24,3.03,1.0150599700245728,Restaurant,VLZX7K2M9QD4T,NA
meat,Level Change,0.91,0.79,1.08,1.017685898027836,Restaurant,SRQS8F7JWA9MZ,NA
meat,Level Change,0.93,0.81,1.09,1.005328864146317,Restaurant,SRQS8F7JWA9MZ,NA
meat,Slope Change,0.53,0.16,1.12,1.0110899763926144,Restaurant,SRQS8F7JWA9MZ,NA
meat,Slope Change,0.93,0.44,3.02,1.0110806286845522,Restaurant,SRQS8F7JWA9MZ,NA
meat,Level Change,0.71,0.53,0.93,1.0112357419886016,Restaurant,2HRX9P6HKXA8V,NA
meat,Slope Change,0.59,0.31,1.2,1.0076255378091512,Restaurant,2HRX9P6HKXA8V,NA
meat,Level Change,0.97,0.82,1.17,1.0194521104921865,Restaurant,JHDN7CF1C03X5,NA
meat,Slope Change,1.22,0.81,1.85,1.028455777009503,Restaurant,JHDN7CF1C03X5,NA
meat,Level Change,0.88,0.68,1.14,1.0061152228971593,Restaurant,L69HYJ4Y3TR91,NA
meat,Slope Change,1.89,0.68,8.74,1.003529329537834,Restaurant,L69HYJ4Y3TR91,NA
meat,Level Change,0.85,0.64,1.11,1.0007654449271268,Restaurant,ED5J990H5VAZT,NA
meat,Slope Change,1.2,0.73,1.97,1.0048465833308038,Restaurant,ED5J990H5VAZT,NA
nonvegan,Level Change,0.93,0.66,1.28,1.00274779802502,Restaurant,VLZX7K2M9QD4T,NA
nonvegan,Slope Change,1.03,0.33,2.87,1.0052252221859372,Restaurant,VLZX7K2M9QD4T,NA
nonvegan,Level Change,0.97,0.83,1.16,1.0015305792482094,Restaurant,SRQS8F7JWA9MZ,NA
nonvegan,Level Change,0.97,0.83,1.15,1.0026452896926115,Restaurant,SRQS8F7JWA9MZ,NA
nonvegan,Slope Change,0.55,0.16,1.24,1.006648246421834,Restaurant,SRQS8F7JWA9MZ,NA
nonvegan,Slope Change,1,0.44,3.4,1.0062765565284861,Restaurant,SRQS8F7JWA9MZ,NA
nonvegan,Level Change,0.57,0.42,0.78,1.009114515763538,Restaurant,2HRX9P6HKXA8V,NA
nonvegan,Slope Change,0.85,0.47,1.47,1.0057200384750475,Restaurant,2HRX9P6HKXA8V,NA
nonvegan,Level Change,0.94,0.78,1.12,1.0054111029707786,Restaurant,JHDN7CF1C03X5,NA
nonvegan,Slope Change,1.16,0.78,1.77,1.0108812650290724,Restaurant,JHDN7CF1C03X5,NA
nonvegan,Level Change,1.26,0.94,1.69,1.0015617042694294,Restaurant,L69HYJ4Y3TR91,NA
nonvegan,Slope Change,1.61,0.75,6.08,1.0138923562303586,Restaurant,L69HYJ4Y3TR91,NA
nonvegan,Level Change,0.95,0.72,1.25,1.000490634606101,Restaurant,ED5J990H5VAZT,NA
nonvegan,Slope Change,1.22,0.84,1.81,1.0017081658626057,Restaurant,ED5J990H5VAZT,NA
total,Level Change,0.93,0.68,1.31,1.004138625613923,Restaurant,VLZX7K2M9QD4T,NA
total,Slope Change,0.93,0.23,3.12,1.010775132036989,Restaurant,VLZX7K2M9QD4T,NA
total,Level Change,0.96,0.82,1.13,1.0184834833278333,Restaurant,SRQS8F7JWA9MZ,NA
total,Level Change,0.96,0.83,1.14,1.0075414669743927,Restaurant,SRQS8F7JWA9MZ,NA
total,Slope Change,0.53,0.16,1.16,1.007509785236276,Restaurant,SRQS8F7JWA9MZ,NA
total,Slope Change,0.99,0.44,3.24,1.0089029186212728,Restaurant,SRQS8F7JWA9MZ,NA
total,Level Change,0.58,0.43,0.79,1.0128749589066726,Restaurant,2HRX9P6HKXA8V,NA
total,Slope Change,0.79,0.44,1.45,1.0343290381810744,Restaurant,2HRX9P6HKXA8V,NA
total,Level Change,0.9,0.76,1.09,1.022249555225121,Restaurant,JHDN7CF1C03X5,NA
total,Slope Change,1.08,0.75,1.58,1.019415131822584,Restaurant,JHDN7CF1C03X5,NA
