Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2021-01-01,2021,01,01,NA,2.5,NA,-1,NA,0.7,NA,17.3,NA,0,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-02,2021,01,02,NA,2.2,NA,-0.9,NA,0.7,NA,17.3,NA,0,NA,NA,NA,NA,NA,10.8,NA,0,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-03,2021,01,03,NA,2.1,NA,0.2,NA,1.1,NA,16.9,NA,0,NA,NA,NA,NA,NA,1.7,NA,0,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-04,2021,01,04,NA,1.7,NA,-0.1,NA,0.8,NA,17.2,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-05,2021,01,05,NA,1.6,NA,0.6,NA,1.1,NA,16.9,NA,0,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-06,2021,01,06,NA,2.1,NA,-0.3,NA,0.9,NA,17.1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-07,2021,01,07,NA,0.8,NA,-4.8,NA,-2,NA,20,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-08,2021,01,08,NA,-1.3,NA,-8.3,NA,-4.8,NA,22.8,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-09,2021,01,09,NA,4.1,NA,-2.4,NA,0.8,NA,17.2,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-10,2021,01,10,NA,2.1,NA,-2,NA,0.1,NA,17.9,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-11,2021,01,11,NA,1.2,NA,-3.1,NA,-1,NA,19,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-12,2021,01,12,NA,0,NA,-1.1,NA,-0.5,NA,18.5,NA,0,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-13,2021,01,13,NA,3.6,NA,-0.5,NA,1.5,NA,16.5,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-14,2021,01,14,NA,5.2,NA,1.7,NA,3.4,NA,14.6,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-15,2021,01,15,NA,5.6,NA,2.7,NA,4.2,NA,13.8,NA,0,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-16,2021,01,16,NA,5,NA,-0.3,NA,2.3,NA,15.7,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-17,2021,01,17,NA,5.1,NA,-0.6,NA,2.3,NA,15.7,NA,0,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-18,2021,01,18,NA,1.2,NA,-2.3,NA,-0.5,NA,18.5,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-19,2021,01,19,NA,2.2,NA,-2.2,NA,0,NA,18,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-20,2021,01,20,NA,-0.8,NA,-7.1,NA,-4,NA,22,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-21,2021,01,21,NA,4,NA,-0.8,NA,1.6,NA,16.4,NA,0,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-22,2021,01,22,NA,2.6,NA,-6.4,NA,-1.9,NA,19.9,NA,0,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-23,2021,01,23,NA,-4,NA,-10.6,NA,-7.3,NA,25.3,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-24,2021,01,24,NA,-1.8,NA,-6.2,NA,-4,NA,22,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-25,2021,01,25,NA,2.3,NA,-2.1,NA,0.1,NA,17.9,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-26,2021,01,26,NA,0.9,NA,-3.9,NA,-1.5,NA,19.5,NA,0,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-27,2021,01,27,NA,-2.5,NA,-8.3,NA,-5.4,NA,23.4,NA,0,NA,NA,NA,NA,NA,0,NA,6,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2021-01-28,2021,01,28,NA,-6.7,NA,-12.1,NA,-9.4,NA,27.4,NA,0,NA,NA,NA,NA,NA,0,NA,4,NA,NA,M,NA,M
